code,category_friendly_name,examples,category,parent_category
81000,Spraying equipment,"Cleaner, Spray Equipment | Dusting Machines, Crop | Fogging Machines for Outdoor Service (See 485-60 for Room Type) | Insect Vacuum, Engine Driven | Smoke Generators | Spray Equipment, Crop, Machine Powered | Spray Equipment, Defoliant | Spray Equipment, Deicer and Frost Protection | Spray Equipment, Landscape, Machine Powered | Spray Equipment, Livestock, Machine Powered | Spray Equipment, Pesticide, Machine Powered, Commercial | Spray Equipment, Portable, Hand Powered | Spray Equipment, Portable, Machine Powered (Back-Pack Type, etc.) | Spray Equipment, Vehicle Mounted | Sprayer Guns, Nozzles, Fittings, Reels, etc. | Recycled Spraying Equipment, Accessories and Supplies","SPRAYING EQUIPMENT (EXCEPT HOUSEHOLD, NURSERY PLANT, AND PAINT)",Facilities and landscaping supplies and services
83000,Storage tanks,"Aluminum Tanks, All Kinds | Brass Tanks, All Kinds | Butane and Propane Tanks, Surface and Underground | Butane and Propane Tanks, Transport Truck Type | Calibrating Tanks | Cast Iron Tanks, All Kinds | Cement Lined Tanks | Cisterns and Parts, Fire | Collapsible Tank for Petroleum Spills | Copper Lined Tanks | Dip Tanks | Expansion Tanks | Fiberglass Lined Tanks | Fiberglass Tanks, Gasoline (Including Underground Type) | Fiberglass Tanks (Other Than for Gasoline) | Filters, Storage Tank | Galvanized Sheet Iron and Steel Tanks | Glass Lined Tanks | Lead Lined Tanks | Leak Detection and Vapor Monitoring Equipment | Plastic and PVC Tanks | Plastic Lined Tanks | Polyethylene Tanks | Processing Tanks | Stainless Steel Tanks, Pressure Type | Stainless Steel Tanks, Holding (For Milk) | Stainless Steel Tanks, Transport Truck Type (For Chemicals, Milk, etc.) | Stainless Steel Tanks: Mixing, Pickling, and Processing Types (For Chemicals, Foods, Paints, Soaps, etc.) | Steel Tanks, For Chemical Storage | Steel Tanks, Overhead Type (For Diesel Fuel, Gasoline, Kerosene, etc.) | Steel Tanks, Portable Type (For Diesel Fuel, Gasoline, Kerosene, Liquid Fertilizers, Water, etc.) | Steel Tanks, Pressure Type (For Air, Gas, Water, etc.) | Steel Tanks, Surface Storage Type (For Asphalt, Emulsions, Road Oil, Water, etc.) | Steel Tanks, Transport Truck Type (For Asphalt, Gasoline, Oil, Water, etc.) | Steel Tanks, Storage Type (For Fuel, Gasoline, and Wetted Salt) | Steel Tanks, Surface and Underground Type (For Gasoline, Kerosene, etc.) | Steel Tanks, Water Works Type, Elevated and Tower | Tank Packing Material | Tank Ends (Heads), Metal | Tanks and Cylinders (Not Otherwise Classified) | Wooden Tanks, All Kinds | Recycled Tanks, Accessories and Supplies","TANKS (METAL, WOOD, AND SYNTHETIC MATERIALS): MOBILE, PORTABLE, STATIONARY, AND UNDERGROUND TYPES",Facilities and landscaping supplies and services
55000,Traffic markers and control devices,"Beads, Glass, Sign and Stripe | Beam and Barrier Handling Equipment | Bridge and Railroad Crossing Gates | Buttons, Delineators, Reflectors, etc., Reflectorized | Cameras, Red Light (See Class 655 for other types) | Cement and Adhesives for Traffic Control Markers | Clamps and Bolts, U-Type, Large (For Highway Signs) | Early Warning System, Engine Powered, Trailer Mounted (Or for Truck Mounting) | Encapsulant, Traffic Loop Detector | Flares and Fusees | Gaskets, Traffic Markers and Dividers | Highway Pass and No-Pass Zone Determination Devices and Equipment | Markers, Plaques, Placards and Tablets: Dedicational, Historical, Informational, etc. | Markers, Survey and Right-Of-Way | Markers, Traffic, Ceramic: Jiggle Bars, etc. | Markers, Traffic, Concrete | Markers, Traffic, Metal | Markers, Traffic, Fiberglass | Markers, Traffic, Plastic and Rubber | Marking Compound (Thermoplastic), and Marking Powder | Parking Meters and Area Control Equipment | Posts, Flexible (For Delineator Markers) | Safety Barriers, Traffic, Mobile: Energy Absorption Systems, Impact Attenuators (Crash Barriers), etc. | Safety Barriers, Traffic, Stationary: Energy Absorption Systems, Impact Attenuators (Crash Barriers), etc. | Sheeting, Reflectorized (For License Plates) | Sheeting, Reflectorized (General) (See 801-49 for Reflective Sign Material) | Signal Torches, Kerosene | Stripes and Legends, Plastic, Prefabricated, Reflective (Including Pavement Marking Tape) (See 832-48 for Marking Tape other than for Pavement) | Traffic Cones, Lane Markers, and Barricades (Portable) | Traffic Control Devices, Non-Electric (Including Rumble Strips, etc.) | Traffic Controls and Equipment, Electric Systems | Traffic Controls and Equipment, Electric Parts | Traffic Counters, Monitors, and Accessories | Traffic Devices, Recycled | Traffic Signal Poles, Standards, and Brackets | Traffic Signals and Equipment, Electric Systems | Traffic Signals and Equipment, Electric Parts | Transportation Systems, Intelligent (An automated information system which provides traffic management, communications, and analysis of data as a minimum) | Vehicle Detectors | Vehicle Identification Systems, Automated | Warning Devices, Telescoping or Fold Up Type | and Accessories | Warning Lights, Flashers, and Flashing Arrow Boards (See Class 285-76 for Streetlights and Standards)","MARKERS, PLAQUES AND TRAFFIC CONTROL DEVICES",Facilities and landscaping supplies and services
86500,Twine and string,"Cotton Twine | Hay Baler Twine | Hemp Twine | Jute Twine | Linen Twine | Marline Twine | Nylon Twine | Polyester and Polypropylene Twine | Seine Twine | Sisal Twine (Including Binder Twine) | String, All Types (Kite, Mailing, Pull, etc.) | Recycled Twine",TWINE,Facilities and landscaping supplies and services
83200,Adhesive tape,"Tape, Anti-Seizing | Tape, Anti-Skid | Tape, Athletic | Tape, Automotive Type | Tape, Barrier (Includes Cautionary and Crime Scene Tape) | Tape, Cellulose: Drafting, Labeling, etc. | Tape, Cloth, Mending | Tape, Detectable Marking | Tape, Duct, Adhesive Type | Tape, Electrical | Tape, Epoxy | Tape, Filament | Tape, Glass Setting | Tape, Freezer/Freeze Protection | Tape, Gummed Kraft and Reinforced Paper | Tape, Insulating, All Types (Except Electrical) | Tape, Insulating, Electrical | Tape, Labeling, Library Type | Tape, Marking, Reflective Adhesive-Backed (See 550-72 for Pavement Marking Tape) | Tape, Masking | Tape, Metal Repair | Tape (Not Otherwise Classified) | Tape, Nuclear Radiation | Tape, Nylon | Tape, Pipe Banding | Tape, Polypropylene | Tape, Roofing: Rubber, etc. | Tape, Sheetrock | Tape, Sign | Tape, Thread, Teflon | Tape, Vinyl | Tape, Wire and Cable Marking and Accessories | Tape, Wood, All Kinds | Recycled Tape","TAPE (NOT DATA PROCESSING, MEASURING, OPTICAL, SEWING, SOUND, OR VIDEO)",General equipment and services
01900,Agricultural crops and grains,"Pumpkins | Berry Crops | Buckwheat | Corn | Cotton | Fruits, Citrus | Fruits, Deciduous Tree | Grapes | Hops | Melons | Nuts, Tree | Potatoes, Irish | Rice | Rye | Sorghum | Soybeans | Sugarcane and Sugarbeets | Tobacco | Vegetables | Wheat","AGRICULTURAL CROPS AND GRAINS INCLUDING FRUITS, MELONS, NUTS, AND VEGETABLES",General equipment and services
90500 | 91800,Aircraft and airport operations services,"Aerial Patrolling (Not Survey) | Aerial Photogrammery Services | Aerial Photography | Aerial Surveys | Aircraft Painting Services | Aircraft Crash Removal Services | Aircraft Washing, Waxing and Polishing Services | Airplane/Helicopter Services (Not Otherwise Classified) | Aircraft Refurbishing, Soundproofing, etc. Services | Airplanes, Helicopters and Accessories Maintenance and Repair | Airport Ground Handling Services | Airport Runway Friction Testing | Air Cargo Services: Developers, Operators, etc. | Air Rescue and Transfer of Patients | Air Traffic Control Services | Aviation Analytical Studies Including Surveys (See 918-12 for Consulting) | Concessions, Airport: Art Gallery | Concessions, Airport: Business Center | Concessions, Airport: Currency Exchange | Concessions, Airport: Food | Concessions, Airport: Gift Shops, Specialties | Concessions, Airport: Miscellaneous | Concessions, Airport: Pay Telephone | Deicing Fluid Recovery Services, Aircraft | Dusting and Seeding Services, Crop (Aerial) | Falconry Services (See 910-59 for other Bird Proofing Services) | Pilot Training Services | Radio Frequency Access Services | Removal of Rubber Deposits from Runways | Runway Grooving Services, Airport | Security Screening Services, Personnel | Signage Services, Aircraft and Airport | Storage Space Services (Not Building Lease), Aircraft | Spacecraft Cargo Transport Services | Spacecraft Services (Not Otherwise Classified) | Waste Disposal Services, Aircraft | Aviation consulting",AIRCRAFT AND AIRPORT OPERATIONS SERVICES,General equipment and services
32500,"Animal feed, bedding, and vitamins","Animal By-Products | Animal Food for Zoo and Farm Animals | Bedding (All Types) | Bird Food, All Types | Calcium Carbonate | Citrus Pulp, Dried | Cottonseed Products | Dehydrated Feed | Distiller's Dried Solubles | Dog and Cat Food | Fat, Feed Grade | Feeders, All Types (Birds, Pets, Squirrels, etc.) | Fish Food | Grain, Chopped or Whole, Unmixed | Guar Products | Hay and Straw | Marine Products | Milk Products | Mixed Feed, All Types (Includes Feed for Poultry, Deer, etc.) | Molasses, Stock Feed | Peanut Products | Phosphate, Defluorinated | Rations, Small Animal | Recycled Feed, Bedding, Vitamins and Supplements for Animals | Reptile Food | Rice Products | Shell, Ground | Soybean Products | Supplement, Liquid Feed | Urea, Feed Grade | Vitamins and Supplements","FEED, BEDDING, VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLASS 875 FOR DRUGS AND PHARMACEUTICALS FOR ANIMALS)",General equipment and services
88000,Audiovisual equipment and supplies,"Audio Visual Equipment and Supplies (Not Otherwise Classified) | Film Editing and Splicing Equipment and Supplies: Cement, Cleaner, Conditioner, Editors, Film Leader, Splicers, etc. | Pointers, Projection Type, Hand-Held and Stationary (110V AC and Battery Powered) | Previewers, Sorters, and Viewers (For Filmstrips, Slides, etc. -Not Projectors or Film Editors and Viewers) | Projectional Supplies: Acetate Sheets, Films, Photo-Reflex and Photo-Modifier Materials, etc. | Projection Screens, Standard and Rear-Projection Types | Projection Stands, Tables, etc., Standard and Rear-Projection Types | Projectors, Filmstrip (Standard Types Only) | Carrying Cases | Parts, and Accessories | Projectors, Motion Picture (Specialized Types Only, Including Film Loop Projectors, Rear-Projection Units, Repetitive Projectors, etc.) | Projectors, Motion Picture (Standard Type Only) | Carrying Cases | Parts, and Accessories | Projectors, Opaque | Carrying Cases | Parts | and Accessories (Epidiascopes) | Projectors, Overhead Transparency | Carrying Cases | Parts | and Accessories | Projectors, Slide (Standard Types Only) | Carrying Cases | Parts | and Accessories | Projectors (Not Otherwise Classified): Combination Filmstrip-Slide Projectors, Rear-Projection Slide Units, Rear-Projection Filmstrip Units | Recycled Visual Education Equipment, Accessories and Supplies | Shipping and Storage Accessories (For Films, Filmstrips, Slides, etc.): Cans, Carrying Cases, Cartridges, Reels, Shipping Cases, Slide Files and Trays, etc. | Storage Cabinets (For Visual Education Equipment and Supplies) | Tables, Light (Visual Education) | Transparencies (See Class 715 for Prepared Material) | Transparency Equipment",VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS -SEE CLASS 285),General equipment and services
09000,Bakery equipment,"Dough Mixers | Dough Sheeters and Dividers | Dough Troughs | Dough Trucks | Flour Sifters | Ovens, Bakery | Pins, Rolling | Proof Boxes | Recycled Bakery Equipment and Supplies | Roll Dividers and Rounders | Slicers, Bread | Tables, Bakers' | Wrapping Machines, Bakery","BAKERY EQUIPMENT, COMMERCIAL",General equipment and services
09500,Barber and beauty shop supplies,"Barber Chairs and Parts | Barber Jackets | Barber Shop Basins, Bowls, and Fittings | Barber Shop Cabinets and Parts | Barber Shop Mirrors | Barber Shop Sterilizers, and Sterilizing Jars | Barber Shop Sundries: Clipper Lubricants, Disinfectants, Dispensing Bottles, Mugs, Neck Dusters, Trays, etc. | Beauty Shop Basins, Bowls, and Fittings | Beauty Shop Cabinets and Parts | Beauty Shop Chairs and Parts | Beauty Shop Foot Rests | Beauty Shop Lamps and Parts | Beauty Shop Mirrors | Beauty Shop Stools | Beauty Shop Tables | Cases (For Barber and Beauty Kits) | Chair Cloths, Shampoo Capes, and Clips | Clippers and Parts (Hair) | Dryers, Curling Irons, and Parts (Hair) | Make-Up Mirrors | Lather Makers and Parts | Mats, Barber Chair | Recycled Barber and Beauty Shop Sundries, Accessories and Supplies | Shears and Tweezers | Strops and Hones, Razor | Vibrators, Massagers, and Parts",BARBER AND BEAUTY SHOP EQUIPMENT AND SUPPLIES,General equipment and services
87000,"Blinds, shades, and awnings","Awnings, Cloth | Awnings, Metal and Wood | Awnings, Vinyl | Reflective Film (Solar Type Sun Screen) | Shade Screens, Louvered or Perforated | Venetian Blind Cord and Tape | Venetian Blinds, Metal, Audio Visual and Standard | Venetian Blinds, Wood | Vertical Blinds, All Types | Wind Screens, Privacy Screens, etc. | Window Shade Cloth | Window Shades | Recycled Awnings, Venetian and Vertical Blinds, and Shades","VENETIAN BLINDS, AWNINGS, AND SHADES",General equipment and services
90800,Bookbinding services,"Bookbinding Services, Custom | Bookbinding Services, Glued or Paste Type | Bookbinding Services, Perfect (Paperback Book Type) | Bookbinding Services, Saddle Stitched | Bookbinding Services(Sewed Cross Stitched, Library Quality), Rebinding, and Repairing: Library Books, Text Books, etc. | Bookbinding, Spiral | Headbands Installed | Magazine Binding (Sewed), Rebinding, and Repairing | Manuscript Binding, (Sewed) | Newspaper Binding (Sewed), Rebinding, and Repairing | Special Work and Repairing: Special Treatment of Rare Volumes, Rebacking of Old Volumes, etc. | Thesis Binding, Sewed","BOOKBINDING, REBINDING, AND REPAIRING",General equipment and services
12500,Bookbinding supplies,"Adhesives, Compounds, Glues, Pastes, Glue Pots, and Containers | Base Compound | Bindery Supplies | Bindings, Comb Type, Metal | Bindings, Comb Type, Plastic | Bindings, Plastic Post/Rivet Strips | Board, Bookbinding Type | Cloth, Bookbinding Type | Covers (For Comb Bound Books) | End Sheets, Bookbinding | Foils, Lettering and Stamping | Headbands, Bookbinding | Leather, Bookbinding | Page Repair Products (Mending Tapes and Cleaners) | Paper, Reproduction Proofing | Paper Treatment Chemicals (Deacidifiers) | Recycled Bookbinding Supplies | Tapes, Bookbinding | Threads, Bookbinding | Tools, Bookbinders' | Wire, Bookbinding",BOOKBINDING SUPPLIES,General equipment and services
16000,Butcher shop equipment,"Baskets, Bins, and Chill Trays (For Meat Handling) | Bleach, Preservative and Wash (For Tripe and Other Meats) | Blocks, Butcher | Block Scrapers, Brushes, and Bone Dust Removers | Brine and Pickle Pumping Units and Supplies | Buckets and Drums, Stainless Steel (For Meat Handling) | Cleavers, Knives, Steels, Stones, and Sharpeners | Dehairer and Dehider | Forks and Shovels, Meat | Grinders and Accessories, Meat, Heavy Duty, Electric | Hooks, Meat | Injection Equipment, Meat | Kettle, Rendering | Knockers and Stunners | Lard Making Tools | Markers and Inks | Meat Marking, Tying, and Wrapping Equipment and Supplies | Meat Molds and Presses | Racks and Hangers, Bacon and Ham Curing | Rails and Tracks (For Meat Handling) | Recycled Butcher Shop and Meat Processing Supplies | Saws, Butchers', Hand | Saws, Meat, Electric, All Types | Shears, Meat | Scalding Equipment | Shrouds, Clamps, Pins, and Skewers | Slicers, Heavy Duty, Electric | Smokehouses and Parts, Portable, Gas or Electric | Steak Machines and Tenderizers | Sterilizing Equipment: Knife Sterilizers, etc. | Stuffers, Meat, Heavy Duty, Electric | Tables, Meat Cutting | Tables and Sinks, Stainless Steel (For Meat Washing, etc.) | Tags and Fasteners | Thermometers, Meat | Trucks: Meat Handling, Head Inspection, Offal, Smoke, etc. | Vacuum Packaging Equipment and Supplies, Meat",BUTCHER SHOP AND MEAT PROCESSING EQUIPMENT,General equipment and services
